      Date      Angle      Separ      err-a      err-s nts  pr
  1964.424       13.0      00.28          0       0.03   4   2
  1964.463       14.0      00.30          0       0.03   3   2
   1964.62       12.2      00.44          0       0.03   3   2
   1965.24       11.8      00.50          0       0.03   4   2
  1965.345       13.0      00.46          0       0.03   9   2
  1965.363       14.0      00.42          0       0.03   5   2
   1965.39       14.5      00.47          0       0.03   3   2
   1965.40       13.7      00.65          0       0.03   1   2
   1965.43      191.2      00.60          0       0.03   3   2
   1965.45      191.0      00.45          0       0.03   3   2
  1966.335       15.2      00.54          0       0.03   4   2
  1966.342       14.0      00.52          0       0.03   4   2
  1966.344       11.9      00.53          0       0.03   9   2
   1966.38       11.1      00.51          0       0.03   4   2
   1966.38      191.7      00.60          0       0.03   3   2
  1967.202       12.6      00.54          0       0.03   4   2
  1967.319       10.7      00.54          0       0.03   8   2
  1967.379       14.6      00.48          0       0.03   4   2
   1967.41       10.9      00.64          0       0.03   4   2
   1968.45       11.6      00.58          0       0.03   3   2
   1969.30       12.8      00.50          0       0.03   3   2
  1969.381       12.2      00.44          0       0.03   4   2
   1969.41       11.3      00.48          0       0.03   4   2
  1970.376       12.4      00.40          0       0.03   4   2
  1970.376      189.8      00.36          0       0.03   1   2
   1970.40       11.0      00.39          0       0.03   4   2
   1971.09       17.4      0.258          0      0.003   4   3
   1971.40       10.9      00.29          0       0.03   4   2
  1972.191        6.8      0.211        0.3      0.001   1   3
   1972.29       12.4      00.20          0       0.03   3   2
  1972.384       11.9      00.19          0       0.03   4   2
   1973.39        0.0        00.          0       0.03   1   2
 1976.0364      192.7      0.160        0.3      0.001   1   3
  1976.038      190.9     00.160          0      0.003   1   3
 1976.0390      192.5      0.160        0.2      0.001   1   3
 1976.2986      193.3      0.184        0.4      0.001   1   3
  1976.299      193.3     00.184          0      0.003   1   3
 1976.3669      192.4     00.190          0      0.003   1   3
 1976.4571      192.8      0.198        0.3      0.002   1   3
  1976.778      192.2      00.21          0       0.03   4   2
 1977.0876      192.3      0.259        0.2      0.002   1   3
 1977.4865      192.5      0.293        0.3      0.002   1   3
 1978.1498      193.1      0.349        0.5      0.002   1   3
 1978.3109      192.6      0.345          0      0.003   1   3
 1978.4050       196.      0.430         2.      0.010   1   3
 1979.1874      192.7      0.442          0      0.003   1   3
 1979.1929      192.9      0.433          0      0.003   1   3
  1979.306      190.7      00.27          0       0.03   2   2
 1979.3595      192.4      0.444          0      0.003   1   3
 1979.4596       11.0     00.429          0      0.003   1   3
 1979.4596      191.0      0.429        1.0      0.010   1   3
 1980.1539      192.6      0.509          0      0.003   1   3
 1980.1566      192.5     00.509          0      0.003   2   3
 1980.1593      192.4      0.508          0      0.003   1   3
 1980.4205      191.2      0.529        0.3      0.004   1   3
 1980.4763      193.1      0.526          0      0.003   1   3
 1980.4805      192.8     00.524          0      0.003   2   3
 1980.4846      192.5      0.521          0      0.003   1   3
  1980.913      193.0      0.521        0.6      0.005   1   3
  1981.347      191.7      0.579        0.2      0.002   1   3
 1981.4566      191.9      0.578          0      0.003   1   3
 1981.4620      192.1      0.581          0      0.003   1   3
 1981.4638      191.9     00.579          0      0.003   3   3
 1981.4728      191.8      0.579          0      0.003   1   3
 1982.1022      191.9     00.252          0      0.003   5   3
  1982.245      191.2      0.608        0.4      0.005   1   3
  1982.320      194.1      00.72          0       0.03   2   2
  1982.438      192.6      00.71          0       0.03   3   2
 1983.0155      192.6      0.636          0      0.003   1   3
 1983.0699      191.8     00.627          0      0.003   1   3
 1983.0699      192.1      0.650          0      0.003   1   3
  1983.400      192.2      0.626          0      0.003   1   3
 1983.4199      192.5      0.638          0      0.003   1   3
 1983.4199      193.0     00.610          0      0.003   1   3
  1983.424     191.70     00.647          0      0.003   3   3
 1984.0532      192.3      0.640          0      0.003   1   3
 1984.0558      192.6      0.643          0      0.003   1   3
 1984.0586      192.5      0.639          0      0.003   1   3
 1984.1158      192.5      0.645          0      0.003   1   3
 1984.1811      198.0      0.665        0.6      0.013   1   3
 1984.1814      192.6      0.643          0      0.003   1   3
 1984.1814      192.6     00.642          0      0.003   1   3
 1984.1838      197.5     00.673          0      0.003   2   3
 1984.1865      197.0      0.680        0.5      0.013   1   3
 1984.1869      192.6      0.644          0      0.003   1   3
 1984.2170      193.1     00.611          0      0.003   4   3
 1984.2789      193.5      0.713        0.3      0.007   1   3
 1984.2932      192.3      0.645          0      0.003   1   3
 1984.3586      192.2      0.645          0      0.003   1   3
 1984.3727      192.5      0.639          0      0.003   1   3
 1984.3807      192.7      0.640          0      0.003   1   3
 1984.3868      192.5     00.644          0      0.003   3   3
 1984.4437      192.8      0.641          0      0.003   1   3
 1984.4518      192.6      0.642          0      0.003   1   3
 1984.4664     192.27     00.687          0      0.003   3   3
 1985.0031      192.3      0.627          0      0.003   1   3
 1985.1150      191.7      0.626          0      0.003   1   3
 1985.1862      192.4      0.624          0      0.003   1   3
 1985.2001      194.0      0.651        0.6      0.013   1   3
 1985.2422      192.9     00.594          0      0.003   2   3
 1985.2437      192.5      0.636        0.6      0.013   1   3
 1985.2490      192.4      0.618          0      0.003   1   3
 1985.2516      192.1      0.619          0      0.003   1   3
 1985.2570      191.9      0.619          0      0.003   1   3
 1985.2582      192.1     00.618          0      0.003   5   3
