# From	https//www.uefa.com/european-qualifiers/news/0264-110cbe0bf3c8-20065adb8f46-1000--qualifying-fixtures-and-results/			
home	       hs m as	away			
England		5 - 0	SanMarino
Hungary		3 - 3	Poland
Germany		3 - 0	Iceland
Liechtenstein	0 - 1	Armenia
Romania		3 - 2	NorthMacedonia
Portugal	1 - 0	Azerbaijan
Serbia		3 - 2	Ireland
Finland		2 - 2	BosniaHerzeg
France		1 - 1	Ukraine
Belgium		3 - 1	Wales
Estonia		2 - 6	CzechRepublic
Gibraltar	0 - 3	Norway
Latvia		1 - 2	Montenegro
Turkey		4 - 2	Netherlands
Cyprus		0 - 0	Slovakia
Malta		1 - 3	Russia
Slovenia	1 - 0	Croatia
Qatar		1 - 0	Luxembourg
Qatar		2 - 1	Azerbaijan
Qatar		1 - 1	Ireland
Qatar		0 - 4	Serbia
Qatar		1 - 3	Portugal
Luxembourg	1 - 1	Qatar
Portugal	3 - 0	Qatar
Ireland		4 - 0	Qatar
Serbia		4 - 0	Qatar
Azerbaijan	2 - 2	Qatar
			
			
